1520875851369;x Acceleration;y Acceleration;z Acceleration;
6183849254850;7.81458;4.73878;3.56545;
6184648573850;7.81458;4.73878;3.56545;
6185447183850;7.81458;4.73878;3.56545;
6186246145850;7.81458;4.73878;3.56545;
6187045438850;7.81458;4.73878;3.56545;
6187843686850;7.81458;4.73878;3.56545;
6188643302850;7.81458;4.73878;3.56545;
6189442458850;7.81458;4.73878;3.56545;
6190241534850;7.81458;4.73878;3.56545;
6191040833850;7.81458;4.73878;3.56545;
6191840308850;0.0;9.81;0.0;
6192639236850;-0.859796;9.4494;0.0;
6193438158850;-0.155054;8.89155;0.0;
6194237225850;0.0282644;9.80636;0.262114;
6195036874850;2.62046;9.06622;2.67825;
6195836081850;2.62046;9.06622;2.67825;
6196634915850;2.62046;9.06622;2.67825;
6197434727850;2.62046;9.06622;2.67825;
6198234560850;2.62046;9.06622;2.67825;
6199032963850;2.62046;9.06622;2.67825;
6199832199850;2.62046;9.06622;2.67825;
6200631556850;2.62046;9.06622;2.67825;
6201430952850;2.62046;9.06622;2.67825;
6202230050850;2.62046;9.06622;2.67825;
6203029283850;2.62046;9.06622;2.67825;
6203828510850;2.62046;9.06622;2.67825;
6204627524850;2.62046;9.06622;2.67825;
6205425945850;2.62046;9.06622;2.67825;
6206224693850;2.62046;9.06622;2.67825;
6207024769850;2.62046;9.06622;2.67825;
6207824514850;2.62046;9.06622;2.67825;
6208623318850;2.62046;9.06622;2.67825;
6209423625850;2.62046;9.06622;2.67825;
6210223188850;2.62046;9.06622;2.67825;
6211023449850;2.62046;9.06622;2.67825;
6211822314850;2.62046;9.06622;2.67825;
6212621351850;2.62046;9.06622;2.67825;
6213420710850;2.62046;9.06622;2.67825;
6214221586850;2.62046;9.06622;2.67825;
6215020283850;2.62046;9.06622;2.67825;
6215820148850;2.62046;9.06622;2.67825;
6216619515850;2.62046;9.06622;2.67825;
6217419222850;2.62046;9.06622;2.67825;
6218218413850;2.62046;9.06622;2.67825;
